"state","request","count","percent"
"IFLOXX","L1_GETS",18446744073133432832,"100.00"
"IFLOXX","L1_GETX",753153576,"  0.00"
"IFLXO","L1_GETS",643603787,"  0.00"
"IFLOSX","L1_GETS",554204985,"  0.00"
"IFLOSX","L1_GETX",350388941,"  0.00"
"IFLXO","L1_GETX",111947161,"  0.00"
"ILX","L1_GETS",98431692,"  0.00"
"IFLOXX","Exclusive_Unblock",85008078,"  0.00"
"ILOSX","L1_GETS",46314782,"  0.00"
"IFLOSX","Unblock",46314782,"  0.00"
"IFLOXX","Unblock",27381055,"  0.00"
"ILOSX","L1_GETX",27371844,"  0.00"
"IFLXO","Exclusive_Unblock",27371844,"  0.00"
"ILX","L1_GETX",13957167,"  0.00"
"ILX","L1_PUTX",1878790,"  0.00"
"ILXW","L1_WBDIRTYDATA",1878790,"  0.00"
"NP","L1_GETS",1487272,"  0.00"
"IGS","Data",1487271,"  0.00"
"IGS","Unblock",1487271,"  0.00"
"ILS","L1_PUTS_only",1457138,"  0.00"
"IW","L1_WBCLEANDATA",1457138,"  0.00"
"S","L2_Replacement",1437769,"  0.00"
"S","L1_GETS",944436,"  0.00"
"SS","Unblock",944436,"  0.00"
"SLS","L1_PUTS_only",933914,"  0.00"
"SW","Unblock",933914,"  0.00"
"M","L1_GETS",919758,"  0.00"
"OO","Exclusive_Unblock",919758,"  0.00"
"SLS","L1_PUTS",918827,"  0.00"
"SLSW","Unblock",918827,"  0.00"
"SLS","L1_GETS",916721,"  0.00"
"SLSS","Unblock",916721,"  0.00"
"M","L1_GETX",535882,"  0.00"
"MM","Exclusive_Unblock",535882,"  0.00"
"M","L2_Replacement",432193,"  0.00"
"MI","Writeback_Ack",432193,"  0.00"
"IGMO","All_Acks",424291,"  0.00"
"IGMO","Exclusive_Unblock",424291,"  0.00"
"IGM","Data",384006,"  0.00"
"NP","L1_GETX",382411,"  0.00"
"IGMLS","Data",40285,"  0.00"
"ILS","L1_GETX",37847,"  0.00"
"OLSX","L1_GETS",33773,"  0.00"
"OLSXS","Unblock",33773,"  0.00"
"SLS","L2_Replacement",33645,"  0.00"
"OLSX","L1_PUTS",31437,"  0.00"
"OLSXW","Unblock",31437,"  0.00"
"ILS","L1_GETS",27584,"  0.00"
"IFLS","Unblock",27584,"  0.00"
"ILS","L1_PUTS",25265,"  0.00"
"ILSW","L1_WBCLEANDATA",25265,"  0.00"
"ILOSX","L1_PUTS",23502,"  0.00"
"ILOSXW","Unblock",23502,"  0.00"
"ILOSXW","L1_WBDIRTYDATA",8458,"  0.00"
"ILOSX","L1_PUTO",8437,"  0.00"
"IGS","L1_GETS",7256,"  0.00"
"OLSX","L1_GETX",7161,"  0.00"
"IFLOX","Exclusive_Unblock",7161,"  0.00"
"ILOSX","L1_PUTS_only",4235,"  0.00"
"ILOXW","Unblock",4235,"  0.00"
"IFLS","L1_GETS",4117,"  0.00"
"ILOX","L1_GETS",3453,"  0.00"
"IFLOX","Unblock",3453,"  0.00"
"SLS","L1_GETX",2438,"  0.00"
"S","L1_GETX",1595,"  0.00"
"OLSX","L1_PUTS_only",1220,"  0.00"
"OXW","Unblock",1220,"  0.00"
"M","Fwd_DMA",844,"  0.00"
"ILOX","L1_PUTO",539,"  0.00"
"ILOXW","L1_WBDIRTYDATA",539,"  0.00"
"IGMO","L1_GETS",336,"  0.00"
"IGM","L1_GETX",323,"  0.00"
"ILX","Fwd_DMA",316,"  0.00"
"ILXD","DmaAck",316,"  0.00"
"ILOX","L1_GETX",274,"  0.00"
"SLSS","L1_GETS",199,"  0.00"
"SLSS","L1_PUTS",167,"  0.00"
"IGMO","L1_GETX",147,"  0.00"
"ILXW","L1_GETS",107,"  0.00"
"IFLOXX","L1_PUTX",103,"  0.00"
"SLSW","L1_PUTS",77,"  0.00"
"OLSX","L2_Replacement",75,"  0.00"
"OLSI","Writeback_Ack",75,"  0.00"
"IGMLS","L1_GETX",60,"  0.00"
"SLSW","L1_GETS",49,"  0.00"
"SLSS","L1_PUTS_only",46,"  0.00"
"ILSW","L1_PUTS",38,"  0.00"
"IGMLS","L1_PUTS",31,"  0.00"
"ILOSX","L1_PUTX",21,"  0.00"
"SS","L1_GETS",18,"  0.00"
"SW","L1_GETS",16,"  0.00"
"IW","L1_GETS",12,"  0.00"
"IFLOSX","L1_PUTS",10,"  0.00"
"IFLOXX","L1_PUTO",9,"  0.00"
"ILOSXW","L1_GETX",8,"  0.00"
"IFLS","L1_GETX",6,"  0.00"
"ILOSXW","L1_GETS",5,"  0.00"
"ILXW","L1_GETX",5,"  0.00"
"IFLS","L1_PUTS",5,"  0.00"
"IFLOSX","L1_PUTS_only",5,"  0.00"
"IFLXO","L1_PUTO",5,"  0.00"
"ILOSXW","L1_PUTS",4,"  0.00"
"IFLS","L1_PUTS_only",4,"  0.00"
"IGMO","L1_PUTS",4,"  0.00"
"OLSXW","L1_PUTS",3,"  0.00"
"IFLOX","L1_PUTO",3,"  0.00"
"OLSXS","L1_PUTS_only",3,"  0.00"
"OLSXS","L1_PUTS",3,"  0.00"
"ILOXW","L1_GETS",2,"  0.00"
"ILOSXW","L1_PUTS_only",2,"  0.00"
"ILSW","L1_GETS",2,"  0.00"
"OLSXW","L1_GETS",2,"  0.00"
"IFLOSX","L1_PUTO",2,"  0.00"
"ILX","L1_PUTO",1,"  0.00"
"ILX","L1_PUTS",1,"  0.00"
